words,links,capital_words,spam_word_count,is_spam
808,5,4,4,1
349,10,25,6,1
515,3,14,10,1
219,0,0,0,0
573,2,27,5,1
167,0,9,1,0
273,1,1,2,0
136,0,1,2,0
167,3,29,3,1
82,0,24,6,1
132,3,8,5,1
212,3,19,7,1
454,2,3,5,0
240,0,2,0,0
495,5,1,5,0
442,4,2,10,1
849,0,30,2,1
199,7,5,4,1
193,7,18,1,1
445,1,2,1,0
216,1,0,5,0
735,7,16,2,1
75,0,2,10,1
502,10,27,6,1
951,0,14,5,1
601,5,14,0,1
294,2,3,3,0
280,2,3,2,0
613,2,10,9,1
280,2,2,2,0
26,1,2,1,0
414,8,11,10,1
156,3,3,0,0
183,0,2,0,0
29,0,1,2,0
366,3,0,5,1
142,4,0,0,0
66,0,0,2,0
337,0,9,0,0
83,3,0,0,0
324,0,8,3,0
232,1,2,0,0
206,1,1,0,0
241,2,10,2,0
45,2,3,4,0
63,0,17,4,1
780,9,7,3,1
347,9,8,0,1
115,6,20,3,1
133,0,20,6,1
681,4,18,10,1
458,1,3,9,1
637,5,8,10,1
405,0,5,2,1
399,0,3,2,0
133,0,1,1,0
94,1,2,0,0
430,8,18,6,1
158,2,8,3,1
208,1,2,0,0
99,2,3,3,0
231,1,20,5,1
29,1,2,1,0
704,5,30,2,1
742,7,6,3,1
73,4,3,0,0
74,0,2,0,0
168,3,6,0,1
101,9,16,3,1
194,2,1,0,0
498,7,10,5,1
60,4,0,0,0
135,0,3,0,1
473,1,0,2,0
220,1,2,2,0
312,3,3,2,0
897,4,8,3,1
226,2,2,0,0
111,0,1,6,0
589,2,3,10,1
891,3,18,4,1
300,10,30,7,1
123,2,2,0,0
37,1,2,2,0
383,0,19,4,1
280,0,2,6,0
251,5,5,0,0
32,1,2,0,0
138,2,28,7,1
95,6,8,7,1
183,2,0,1,0
170,2,0,0,0
117,7,9,10,1
111,1,1,1,0
122,9,5,9,1
155,5,9,2,0
159,2,9,2,0
150,1,10,1,0
582,8,24,5,1
143,6,20,3,1
341,6,28,6,1
119,0,3,1,0
825,5,5,0,1
583,2,10,6,1
189,10,26,4,1
45,0,2,2,0
198,3,22,10,1
97,1,2,0,0
269,0,0,0,0
930,0,5,7,1
862,3,2,4,1
333,1,5,10,1
536,0,13,6,1
106,1,1,0,0
85,2,0,2,0
325,9,11,5,1
212,9,6,8,1
951,8,8,6,1
165,1,1,2,0
267,0,3,6,0
431,1,1,2,0
880,5,22,5,1
82,5,2,2,0
410,5,22,9,1
189,0,2,0,0
219,2,7,1,0
868,7,5,7,1
881,2,15,6,1
640,5,4,5,1
80,2,0,2,0
30,1,2,2,0
294,0,1,2,0
213,2,8,1,0
266,0,0,3,0
183,8,13,9,1
57,1,2,4,0
351,4,27,2,1
327,7,0,9,1
273,2,2,5,0
693,9,26,2,1
919,0,16,8,1
759,5,2,5,1
185,3,3,3,0
295,2,1,1,0
755,10,26,5,1
606,2,21,0,1
148,0,0,2,0
237,3,0,6,0
363,2,0,0,0
241,1,5,1,0
244,2,1,1,0
868,10,16,5,1
249,0,3,2,0
158,2,1,2,0
457,6,26,10,1
52,2,0,1,0
83,0,3,2,0
184,9,28,7,1
165,1,0,0,0
542,2,22,3,1
87,0,1,0,0
211,10,8,5,1
45,0,2,0,0
48,5,9,1,0
147,0,2,0,0
92,5,27,10,1
35,0,2,1,0
224,1,3,2,0
89,4,29,3,1
497,3,5,7,1
761,5,29,7,1
958,2,2,4,1
900,2,2,1,1
203,0,10,2,0
459,7,27,3,1
170,10,2,6,1
508,5,24,8,1
200,2,2,5,0
231,0,1,2,0
708,3,7,8,1
878,5,4,5,1
131,1,0,1,0
188,2,2,1,0
182,1,1,1,0
400,10,27,10,1
198,6,19,1,1
449,5,26,4,1
629,7,29,10,1
841,2,28,8,1
242,3,1,6,0
49,1,2,1,0
172,3,2,2,0
869,10,8,3,1
121,0,9,6,0
166,0,1,3,0
81,1,1,2,0
218,6,18,9,1
118,1,3,0,0
88,3,2,2,0
760,2,24,3,1
138,9,5,9,1
539,4,4,3,1
128,1,24,1,1
959,9,28,10,1
362,8,23,8,1
830,9,23,10,1
142,3,26,9,1
386,0,0,1,0
303,2,12,9,1
944,7,0,4,1
223,0,0,0,0
958,2,19,4,1
238,1,2,1,0
342,1,2,0,0
76,4,8,8,1
957,1,10,3,1
285,0,0,2,0
232,1,2,1,0
192,1,1,1,0
590,2,30,8,1
152,2,23,10,1
582,9,9,3,1
164,9,25,6,1
92,1,0,1,0
51,7,9,9,1
161,4,8,8,1
377,2,0,2,0
900,3,13,3,1
665,8,6,5,1
624,9,11,9,1
120,1,3,0,0
323,3,25,3,1
297,1,8,2,0
241,4,5,6,1
453,1,7,0,1
363,1,2,0,0
112,2,6,0,0
168,2,1,2,0
453,3,1,0,0
271,2,4,0,0
231,1,3,4,0
133,1,5,0,0
36,2,1,0,0
73,2,2,0,0
487,0,2,1,0
179,4,13,10,1
255,2,3,2,0
149,1,3,2,0
119,3,5,4,1
629,4,8,3,1
247,1,7,6,1
92,2,5,1,1
133,0,2,0,0
130,8,18,8,1
305,8,12,4,1
839,6,0,8,1
85,5,1,1,0
656,6,27,3,1
647,7,22,9,1
78,1,1,2,0
703,9,27,3,1
189,1,2,1,0
151,4,10,1,0
214,2,0,6,0
117,2,0,2,0
558,0,10,5,1
384,1,12,6,1
360,3,0,1,0
133,0,10,2,0
166,2,7,1,0
156,1,0,1,0
250,10,29,5,1
111,2,7,3,1
123,4,2,2,0
281,1,2,0,0
95,1,3,1,0
180,1,1,2,0
56,3,1,5,1
224,2,3,2,0
235,0,0,1,0
90,4,27,10,1
405,10,14,5,1
119,2,10,1,0
730,3,17,10,1
254,1,1,0,0
613,6,5,9,1
250,2,3,6,0
380,1,0,1,0
237,1,1,1,0
182,0,1,1,0
90,3,7,5,1
240,4,0,1,1
984,4,17,9,1
104,2,3,0,0
768,7,19,3,1
396,5,7,9,1
295,3,1,2,0
283,0,2,0,0
127,2,26,7,1
170,2,2,2,0
575,5,27,4,1
116,5,24,10,1
134,4,29,7,1
25,5,2,1,0
277,1,2,4,0
268,0,2,1,0
210,0,0,4,0
731,4,12,10,1
166,2,5,4,1
619,2,29,8,1
294,1,0,1,0
166,0,0,2,0
962,10,8,3,1
270,0,1,1,0
125,2,3,6,0
517,2,18,10,1
777,5,0,7,1
285,2,6,2,0
279,5,2,2,0
351,10,7,4,1
333,10,0,0,1
66,0,1,0,0
286,3,23,3,1
157,2,24,6,1
128,5,4,3,1
355,5,13,4,1
89,1,2,1,0
314,8,28,2,1
106,0,1,3,0
555,2,17,3,1
973,5,21,8,1
270,1,3,0,0
589,10,8,8,1
151,3,26,10,1
108,4,3,0,0
196,4,2,3,0
243,1,1,0,0
325,2,3,0,0
591,1,18,9,1
905,5,5,7,1
665,6,23,2,1
272,0,1,2,0
246,2,2,0,0
778,4,28,6,1
716,0,2,6,1
857,7,6,9,1
198,1,3,9,1
103,3,23,4,1
162,9,21,4,1
717,1,2,2,1
182,4,17,0,1
812,9,13,7,1
532,9,15,10,1
211,1,0,5,0
284,2,3,4,0
525,3,20,1,1
867,2,1,8,1
523,2,12,4,1
72,2,17,1,1
455,2,3,1,0
173,2,1,5,0
64,1,2,2,0
124,0,4,3,0
166,4,1,2,0
133,0,1,0,0
292,2,0,1,0
540,8,0,8,1
102,1,1,1,0
194,8,5,8,1
214,1,2,1,0
107,0,1,2,0
170,2,11,10,1
500,5,8,7,1
132,2,2,0,0
145,0,0,1,0
256,2,3,2,0
468,9,12,7,1
943,7,30,4,1
21,2,3,0,0
172,0,0,3,0
45,2,3,2,0
391,2,2,6,0
83,5,1,2,0
297,2,13,7,1
187,4,18,3,1
171,1,0,5,1
618,6,20,10,1
544,1,15,5,1
480,3,11,1,1
427,1,1,5,0
269,2,3,2,0
297,9,14,3,1
802,4,10,4,1
301,1,9,2,0
466,0,28,9,1
402,2,3,2,0
285,0,1,0,0
155,0,7,0,0
298,3,22,8,1
215,2,0,4,0
36,2,2,6,0
171,0,3,1,0
56,2,3,0,0
352,2,0,5,0
302,0,11,7,1
61,0,10,3,0
97,0,0,0,0
288,5,1,2,0
514,5,7,10,1
157,8,0,10,1
162,4,1,4,0
735,7,28,4,1
626,7,4,4,1
853,10,18,3,1
70,2,3,0,0
151,1,3,6,0
440,3,25,0,1
132,1,2,1,0
190,2,27,9,1
218,4,3,1,0
140,1,3,4,0
188,2,17,9,1
274,4,0,2,0
100,0,3,1,0
923,2,17,1,1
36,3,0,2,0
182,2,0,2,0
577,9,11,8,1
117,2,29,9,1
170,2,16,5,1
51,2,6,3,1
418,1,1,2,0
247,2,4,1,0
720,5,12,2,1
392,6,28,9,1
649,9,5,9,1
102,2,0,0,0
118,2,3,0,0
237,6,0,5,1
292,1,3,1,0
686,5,23,9,1
100,2,10,2,1
108,1,2,0,0
116,2,5,0,0
483,0,2,6,0
307,4,26,10,1
192,1,0,2,0
148,2,3,2,0
275,0,1,3,0
32,0,2,1,0
241,1,10,1,0
185,2,1,1,0
393,0,2,5,0
214,2,21,10,1
184,2,4,1,0
125,4,6,10,1
103,1,3,1,0
810,7,16,4,1
116,10,5,0,1
308,4,1,1,1
202,1,5,3,0
311,2,23,9,1
551,3,29,6,1
44,2,2,0,0
134,5,3,10,1
277,0,1,1,0
707,3,23,8,1
188,7,10,7,1
148,2,15,3,1
157,2,16,10,1
910,9,9,5,1
605,7,16,7,1
426,0,2,1,0
77,2,0,0,0
189,5,5,7,1
212,0,4,0,0
45,1,1,1,0
130,1,2,2,0
283,2,3,5,0
855,4,3,10,1
166,9,29,7,1
80,2,3,0,0
314,0,2,0,0
217,5,0,1,0
185,1,0,7,1
885,3,14,5,1
432,0,2,0,0
25,1,2,1,0
494,1,2,0,0
799,9,1,8,1
165,0,20,4,1
402,3,4,10,1
245,4,8,1,0
226,5,8,2,0
210,2,1,0,0
275,2,0,2,0
203,2,2,5,0
124,0,28,7,1
186,6,7,7,1
807,7,22,4,1
183,3,4,3,1
51,0,2,2,0
638,9,1,6,1
521,4,14,8,1
406,0,1,0,0
89,5,15,9,1
93,0,0,4,0
97,10,6,7,1
994,2,10,6,1
317,2,0,2,0
418,0,2,2,0
64,1,4,2,0
160,1,1,0,0
532,7,25,4,1
155,9,30,1,1
385,3,25,8,1
557,2,25,1,1
274,2,0,1,0
198,3,3,2,0
764,3,13,3,1
884,4,5,8,1
83,2,0,0,0
612,7,16,0,1
266,0,0,0,0
235,1,0,1,0
189,4,8,9,1
234,2,5,1,0
910,1,7,4,1
260,1,0,2,0
791,2,30,1,1
66,0,1,2,0
193,2,2,1,0
675,9,26,2,1
888,8,5,6,1
610,4,25,3,1
828,4,17,1,1
119,0,3,1,0
50,3,26,2,1
304,1,7,0,0
22,0,3,3,0
374,3,17,3,1
124,4,1,5,1
112,1,2,2,0
106,1,3,0,0
239,1,1,2,0
136,0,6,2,0
75,1,4,0,0
454,2,0,5,0
889,3,20,7,1
184,4,1,2,0
96,2,0,5,0
923,6,19,9,1
127,2,0,4,0
195,9,14,0,1
233,0,3,2,0
130,0,1,2,0
128,0,0,0,0
178,0,0,1,0
359,0,2,2,0
93,2,1,2,0
370,0,2,2,0
235,0,1,3,0
758,10,26,0,1
130,7,2,6,1
451,2,18,7,1
32,2,1,4,0
169,0,0,2,0
933,8,0,3,1
190,9,22,8,1
226,1,10,1,0
412,9,22,10,1
148,8,4,8,1
210,2,6,3,1
174,1,2,3,0
376,0,7,5,1
422,7,2,7,1
611,4,21,5,1
206,4,20,6,1
516,9,2,4,1
178,0,1,0,0
21,1,7,3,0
951,6,21,10,1
410,5,0,10,1
892,7,3,4,1
607,9,11,1,1
451,2,19,3,1
217,1,1,2,0
638,5,29,8,1
254,5,3,2,0
739,6,30,6,1
232,0,3,1,0
138,7,30,3,1
106,1,0,2,0
612,0,22,3,1
217,2,1,1,0
260,8,5,4,1
82,3,17,6,1
231,4,6,10,1
245,0,2,3,0
311,9,29,3,1
339,5,19,9,1
122,4,0,4,0
64,1,5,2,0
164,1,3,1,0
402,2,3,2,0
163,0,3,4,0
545,4,4,8,1
46,0,3,2,0
130,5,13,4,1
200,5,3,2,0
205,1,0,5,0
318,9,12,0,1
614,9,21,4,1
387,3,19,3,1
126,0,13,10,1
226,3,5,5,1
789,0,14,0,1
75,1,0,2,0
188,2,9,3,0
857,2,25,0,1
145,6,17,7,1
846,3,16,5,1
647,2,11,1,1
306,5,8,0,0
519,6,8,6,1
795,5,14,1,1
875,2,21,7,1
183,4,2,3,0
121,3,3,5,1
220,2,0,2,0
271,4,1,0,0
188,0,0,2,0
160,1,1,2,0
39,2,1,0,0
623,3,15,10,1
417,4,4,8,1
916,6,22,7,1
119,8,24,8,1
617,2,14,6,1
519,4,0,4,1
123,3,5,4,1
606,10,17,7,1
76,1,2,0,0
718,5,11,9,1
228,1,2,2,0
57,5,16,6,1
197,0,0,1,0
149,1,0,0,0
922,6,7,10,1
450,1,7,0,0
955,8,30,7,1
682,3,13,10,1
270,0,4,5,0
545,10,7,0,1
541,7,1,3,1
155,4,15,10,1
164,2,3,1,0
153,1,8,2,0
786,4,6,5,1
414,3,14,3,1
715,9,28,5,1
255,2,26,1,1
476,8,18,9,1
394,3,22,0,1
859,1,28,5,1
325,1,0,2,0
533,1,30,5,1
882,9,23,2,1
452,6,12,6,1
781,10,3,0,1
163,3,5,9,1
149,3,25,6,1
849,2,10,5,1
217,8,24,2,1
27,0,2,0,0
574,10,21,7,1
398,1,0,1,0
139,3,21,4,1
68,2,3,2,0
248,2,1,2,0
244,5,7,3,1
58,3,1,10,1
723,8,30,6,1
152,3,20,2,1
99,1,0,2,0
836,1,24,8,1
790,9,13,1,1
904,3,5,2,1
38,1,2,1,0
156,1,1,1,0
955,6,10,8,1
650,6,17,9,1
744,10,3,7,1
238,1,6,2,0
427,3,16,6,1
302,2,1,0,0
469,4,3,5,1
298,0,1,1,0
190,4,5,3,1
279,6,10,7,1
875,3,30,8,1
170,0,3,1,0
911,3,18,8,1
321,9,11,6,1
178,0,9,6,0
153,0,3,2,0
632,5,29,5,1
464,7,9,9,1
64,9,21,5,1
457,2,1,2,0
688,9,28,9,1
45,2,0,1,0
224,10,29,10,1
275,1,2,2,0
122,5,3,3,1
114,1,20,3,1
123,7,3,3,1
196,1,1,2,0
745,2,10,8,1
121,0,27,4,1
292,1,3,1,0
463,1,3,1,0
245,4,16,0,1
283,0,2,1,0
236,0,2,0,0
243,8,30,7,1
88,1,25,10,1
272,1,0,0,0
909,4,25,4,1
274,2,0,2,0
259,0,1,6,0
259,3,3,3,0
790,3,24,0,1
137,2,16,8,1
277,1,6,4,1
753,1,5,3,1
23,1,2,0,0
102,6,19,7,1
456,5,13,2,1
296,2,3,1,0
623,9,5,3,1
355,1,4,6,0
463,8,7,8,1
880,8,24,10,1
188,2,1,2,0
106,8,17,3,1
96,1,10,1,0
795,4,9,6,1
131,1,2,4,0
728,6,5,9,1
635,2,9,6,1
322,9,2,10,1
895,4,22,2,1
644,2,16,2,1
113,3,3,1,0
283,4,26,6,1
177,4,22,2,1
322,4,7,1,1
273,0,0,2,0
110,5,0,1,0
176,0,3,0,0
282,0,1,4,0
180,2,5,8,1
293,2,1,1,0
138,5,8,7,1
832,8,2,10,1
151,1,3,2,0
82,2,0,1,0
101,0,1,1,0
158,2,21,1,1
334,3,27,6,1
115,1,3,1,0
232,1,0,1,0
161,6,16,4,1
658,3,16,10,1
200,3,2,0,0
103,4,0,2,0
187,0,2,0,0
83,2,16,3,1
288,5,3,0,0
217,2,10,0,0
543,1,4,10,1
168,5,5,3,1
781,8,16,7,1
154,7,21,8,1
169,1,0,6,0
151,1,0,6,0
270,4,1,1,0
87,1,3,1,0
241,2,2,2,0
127,1,1,1,0
225,2,27,10,1
141,9,5,1,1
429,7,26,10,1
274,4,3,4,0
505,10,3,6,1
611,4,22,4,1
394,8,25,8,1
235,10,5,2,1
114,7,11,3,1
408,1,0,1,0
307,9,17,4,1
977,7,8,4,1
188,2,24,8,1
737,2,4,7,1
988,8,13,10,1
281,1,1,2,0
55,0,6,2,0
184,8,2,6,1
668,9,1,5,1
331,2,2,4,0
192,2,30,7,1
287,2,4,0,0
294,2,3,0,0
499,4,0,1,1
120,2,25,9,1
182,2,9,10,1
971,10,19,4,1
107,4,18,8,1
259,2,0,2,0
37,2,2,0,0
959,2,30,3,1
137,2,2,2,0
151,4,0,6,1
299,9,2,3,1
211,1,2,1,0
281,1,4,6,0
632,0,24,4,1
97,2,3,0,0
652,3,26,1,1
115,8,15,9,1
165,1,3,2,0
118,1,1,2,0
891,8,10,3,1
82,2,2,1,0
891,8,5,2,1
170,2,9,10,1
420,3,20,1,1
667,1,1,7,1
114,0,8,1,0
81,0,9,1,0
117,1,3,2,0
108,10,24,10,1
182,1,0,1,0
438,7,5,6,1
206,0,0,0,0
84,3,7,2,0
178,3,20,3,1
106,0,2,1,0
162,5,23,8,1
830,5,29,5,1
159,5,0,2,0
612,8,28,9,1
25,2,0,2,0
356,10,3,9,1
176,1,8,1,0
350,6,3,5,1
72,9,25,3,1
243,5,9,4,1
78,6,5,10,1
144,0,2,2,0
127,3,24,5,1
162,1,1,3,0
168,3,21,3,1
202,0,2,0,0
117,2,24,5,1
385,4,2,6,1
850,2,7,9,1
400,3,29,8,1
29,5,5,2,0
400,3,22,10,1
372,1,2,2,0
62,0,10,2,0
878,7,25,3,1
204,2,3,0,0
811,10,10,8,1
156,2,4,8,1
217,2,3,2,0
943,10,7,7,1
657,5,28,3,1
244,2,0,1,0
290,0,0,2,0
663,8,21,6,1
51,1,1,0,0
161,6,22,3,1
724,6,0,10,1
966,10,20,10,1
86,2,1,2,0
961,9,30,6,1
157,3,15,3,1
100,7,21,6,1
641,10,14,3,1
247,2,0,1,0
157,0,5,4,0
298,2,6,1,0
139,2,10,0,0
481,7,6,4,1
841,4,15,9,1
888,2,4,3,1
431,9,21,2,1
125,5,28,5,1
179,5,7,8,1
164,7,10,6,1
687,2,23,3,1
938,9,6,3,1
52,10,2,2,1
137,0,3,1,0
82,3,1,10,1
482,3,16,6,1
98,2,2,0,0
303,4,0,1,0
167,2,17,6,1
388,3,21,9,1
186,6,12,4,1
119,2,0,5,0
178,2,1,2,0
456,7,24,9,1
397,2,11,1,1
266,1,3,0,0
139,1,0,3,0
178,2,1,2,0
105,1,2,1,0
177,2,3,1,0
738,3,2,8,1
99,0,1,1,0
185,4,26,2,1
92,0,3,0,0
157,2,2,8,1
167,2,0,2,0
265,3,3,2,0
405,5,4,9,1
247,0,2,5,0
200,0,1,1,0
248,3,19,6,1
660,6,4,7,1
58,4,3,2,0
95,8,13,3,1
969,4,26,6,1
254,1,2,2,0
219,1,2,2,0
452,4,20,5,1
531,4,10,1,1
401,0,1,0,0
228,1,0,0,0
892,5,6,5,1
272,1,1,2,0
58,1,3,1,0
476,0,1,2,0
113,10,9,6,1
228,1,3,2,0
959,5,21,5,1
60,0,0,0,0
892,6,8,6,1
188,1,3,2,0
684,0,19,2,1
418,7,20,3,1
150,0,10,0,0
806,10,23,7,1
53,2,2,2,0
176,2,1,2,0
856,3,1,6,1
228,1,1,1,0
218,3,12,10,1
76,0,7,6,0
127,0,0,2,0
84,1,14,10,1
204,2,2,2,0
168,4,6,0,1
434,0,1,4,0
270,2,2,4,0
197,6,14,4,1
430,8,16,3,1
879,5,7,8,1
151,1,2,6,0
48,0,1,5,0
139,5,3,2,0
318,2,19,10,1
177,1,1,2,0
68,1,1,2,0
748,3,22,3,1
157,3,13,9,1
395,10,13,3,1
181,0,2,2,0
46,0,7,0,0
166,1,2,4,0
126,3,21,9,1
988,3,14,4,1
204,1,1,0,0
732,4,11,1,1
571,10,16,4,1
220,1,0,0,0
109,1,5,2,0
147,5,0,2,0
21,0,6,1,0
402,1,1,1,0
54,5,12,7,1
39,1,0,0,0
272,1,2,1,0
706,1,6,4,1
88,0,1,1,0
250,2,8,1,0
777,2,5,4,1
543,10,9,8,1
459,1,0,2,0
134,5,1,0,0
145,2,3,0,0
788,3,0,8,1
33,1,1,1,0
167,0,8,1,0
172,0,0,6,0
305,2,6,10,1
659,1,13,5,1
276,8,14,6,1
92,1,7,0,0
519,6,5,10,1
247,8,8,8,1
258,1,3,1,0
816,0,20,7,1
309,3,3,10,1
651,10,1,9,1
333,7,14,7,1
259,1,7,2,0
284,1,3,2,0
941,5,16,4,1
471,2,9,6,1
328,1,2,1,0
187,5,23,10,1
225,4,10,2,0
988,6,0,3,1
608,4,29,2,1
75,0,2,1,0
458,6,5,6,1
262,0,3,0,0
292,1,2,1,0
940,2,9,2,1
856,10,13,0,1
349,3,6,10,1
252,0,0,1,0
269,4,1,2,0
297,2,0,2,0
245,2,2,2,0
731,0,21,3,1
87,10,9,8,1
149,2,8,0,0
243,1,3,2,0
177,0,0,0,0
78,1,9,2,0
204,1,8,2,0
244,2,2,2,0
393,7,20,4,1
910,7,24,4,1
928,9,5,4,1
100,3,27,10,1
507,0,21,8,1
97,8,9,4,1
614,9,19,7,1
364,6,20,3,1
137,1,3,0,0
114,7,5,7,1
93,0,3,2,0
306,1,6,0,0
458,2,2,2,0
167,5,1,1,0
961,2,23,6,1
776,3,30,3,1
429,2,1,4,0
144,8,27,10,1
243,1,1,5,0
253,0,3,0,0
559,10,21,10,1
180,3,30,5,1
163,5,0,1,0
278,4,1,3,0
44,0,3,4,0
57,5,12,7,1
64,0,2,0,0
394,8,27,9,1
65,1,2,1,0
224,4,26,2,1
28,1,2,0,0
199,2,2,1,0
53,2,0,2,0
30,2,1,0,0
298,2,2,3,0
728,2,22,3,1
134,2,22,9,1
162,0,3,1,0
630,8,27,5,1
811,8,27,10,1
568,8,20,0,1
498,10,17,7,1
176,4,5,5,1
60,1,2,2,0
143,4,21,2,1
101,1,2,2,0
30,0,2,4,0
869,3,26,6,1
98,2,3,1,0
679,8,7,10,1
456,0,5,1,0
719,4,5,5,1
114,0,0,0,0
281,2,4,6,1
934,7,11,4,1
350,6,1,7,1
142,9,24,10,1
613,8,15,4,1
195,3,12,9,1
275,0,0,3,0
885,1,25,4,1
84,2,0,3,1
937,2,10,7,1
43,0,1,1,0
169,8,25,9,1
390,6,23,3,1
567,3,1,9,1
35,2,6,4,0
264,1,4,1,0
129,2,21,7,1
442,0,23,5,1
156,2,2,5,0
415,4,21,10,1
290,3,2,2,0
48,2,0,5,0
139,1,0,1,0
269,1,8,0,0
489,5,28,0,1
51,1,2,0,0
680,4,8,0,1
168,9,22,0,1
108,1,3,2,0
335,4,21,9,1
496,2,3,0,0
172,4,18,7,1
469,7,2,10,1
759,2,1,2,1
21,0,1,1,0
107,2,3,2,0
214,2,3,0,0
243,2,2,2,0
187,4,28,9,1
